Brand;Model;Body_Type;Year;Price;Mileage;Engine_Size;Horsepower;Fuel_Type;Gender;Marital_Status;Has_Children;Social_Status
Nissan;Altima;Sedan;2019;26420;22960;2;151;Petrol;Female;Single;1;4
Ford;F-150;Sedan;2020;46809;63187;3,5;185;Petrol;Female;Single;0;5
Toyota;Camry;Truck;2021;47445;66761;1,8;261;Petrol;Female;Married;1;3
Tesla;Model S;Truck;2019;31866;28621;2;360;Petrol;Male;Married;1;4
Nissan;Sentra;Sedan;2020;17593;5082;;344;Petrol;Female;Single;0;4
Mercedes;GLC;Sedan;2020;23952;30361;2,5;363;Petrol;Male;Married;2;3
Kia;Optima;Sedan;2018;19433;65920;2;286;Petrol;Male;Married;0;2
Nissan;Rogue;Sedan;2020;44508;26494;2,5;151;Petrol;Male;Married;1;5
Mercedes;C-Class;Sedan;2021;43650;36507;2;198;Petrol;Female;Single;1;4
Chevrolet;Malibu;Sedan;2020;36361;86444;1,6;151;Petrol;Female;Married;2;1
BMW;X3;Sedan;2021;16179;62321;2;334;Petrol;Female;Single;1;1
Chevrolet;Camaro;Hatchback;2020;16173;43125;1,6;300;Petrol;Male;Married;2;1
Honda;Accord;Truck;2019;32918;58509;2,5;328;Petrol;Female;Married;1;5
Tesla;Model 3;Hatchback;2020;19847;23694;2;204;Petrol;Male;Single;0;2
Honda;Civic;Sedan;2018;19166;61458;2;266;Petrol;Male;Married;3;1
Toyota;Prius;Sedan;2019;37320;46344;2,5;181;Petrol;Female;Married;3;1
Toyota;Prius;Sedan;2020;47500;53221;2;268;Petrol;Female;Single;2;4
Toyota;Corolla;Sedan;2018;47872;99623;1,6;367;Electric;Male;Single;2;1
Toyota;Prius;Sedan;2018;15318;42271;2;144;Petrol;Female;Married;2;4
Toyota;RAV4;Sedan;2021;23120;95330;3,5;386;Petrol;Male;Married;3;1
Toyota;Corolla;Truck;2020;27361;14857;3,5;355;Petrol;Female;Married;3;4
Chevrolet;Camaro;Sedan;2020;48744;11628;;270;Petrol;Male;Married;1;4
Honda;Accord;Sedan;2020;21666;60600;2;256;Petrol;Female;Single;2;1
Hyundai;Sonata;Sedan;2021;36050;62959;2;264;Petrol;Male;Single;1;2
Nissan;Maxima;Sedan;2020;19706;53741;2;349;Petrol;Female;Married;3;5
Tesla;Model 3;Hatchback;2020;45992;25840;2;192;Petrol;Male;Single;3;1
Hyundai;Tucson;Sedan;2021;39614;86665;1,8;360;Petrol;Male;Married;0;2
Honda;Accord;Sedan;2021;15352;78272;2;166;Petrol;Female;Single;1;1
Hyundai;Tucson;Sedan;2021;15819;15635;2,5;126;Petrol;Female;Single;0;4
Hyundai;Sonata;Sedan;2020;16141;17988;2;261;Petrol;Male;Single;3;2
Mercedes;E-Class;Sedan;2018;40218;71844;1,6;310;Petrol;Male;Single;0;2
Chevrolet;Equinox;Sedan;2018;28898;20859;3,5;268;Petrol;Male;Married;0;5
Toyota;Camry;Sedan;2021;20406;98887;2,5;349;Petrol;Male;Married;3;3
Ford;F-150;Hatchback;2019;17555;62711;3,5;203;Petrol;Male;Single;3;3
Tesla;Model Y;Sedan;2019;43849;68474;2;111;Petrol;Male;Married;3;5
Kia;Sportage;Sedan;2021;37274;51291;2;325;Petrol;Male;Single;3;4
Toyota;Camry;Sedan;2019;29487;12673;1,8;173;Petrol;Female;Married;0;2
Ford;F-150;Sedan;2020;44819;30135;2,5;120;Petrol;Male;Married;1;4
Honda;Fit;Hatchback;2021;40912;80133;2;200;Petrol;Female;Married;2;1
Ford;Mustang;Sedan;2020;32364;16575;1,8;384;Petrol;Female;Single;3;3
Kia;Sportage;Truck;2018;30735;53933;2;243;Electric;Female;Married;3;5
Ford;Mustang;Sedan;2018;24512;72382;2;304;Petrol;Female;Single;2;4
Chevrolet;Equinox;Sedan;2021;24282;15035;2;372;Petrol;Male;Single;3;2
Kia;Optima;Sedan;2020;16206;61253;2;308;Petrol;Female;Single;3;5
Hyundai;Tucson;Sedan;2019;28696;22347;2;319;Petrol;Female;Single;3;4
Kia;Sorento;Sedan;2021;38915;56947;2,5;319;Electric;Male;Married;1;2
Honda;Accord;Sedan;2019;25306;84793;2;271;Petrol;Male;Single;2;5
Kia;Soul;Truck;2021;25504;31213;3,5;377;Petrol;Male;Married;1;3
Tesla;Model S;Sedan;2020;34496;96619;2;301;Petrol;Female;Married;0;4
BMW;X5;Hatchback;2020;46574;68840;2;381;Petrol;Male;Single;3;1
Mercedes;C-Class;Hatchback;2020;28914;67386;1,8;171;Petrol;Male;Married;0;2
Toyota;Corolla;Sedan;2019;43102;69184;1,6;392;Petrol;Male;Married;2;3
Toyota;Prius;Sedan;2020;27273;55387;2;206;Petrol;Female;Married;0;2
Hyundai;Santa Fe;Truck;2020;47517;87633;1,6;153;Petrol;Female;Single;0;1
Honda;Civic;Sedan;2018;45264;60351;1,6;344;Petrol;Male;Single;1;5
Toyota;Camry;Sedan;2020;40199;72888;1,8;343;Petrol;Female;Single;0;1
Tesla;Model X;Sedan;2020;15156;60712;2,5;354;Electric;Male;Married;1;5
BMW;X5;Sedan;2020;37898;96249;2;333;Petrol;Male;Married;0;1
Honda;CR-V;Sedan;2019;45339;47611;1,6;363;Petrol;Female;Married;3;4
Honda;Accord;Sedan;2021;37700;73498;2,5;208;Petrol;Female;Single;2;4
Nissan;Maxima;Sedan;2019;46238;83795;;380;Petrol;Female;Single;3;3
Hyundai;Sonata;Sedan;2019;44618;6722;2;142;Petrol;Female;Married;1;5
Hyundai;Elantra;Sedan;2020;22241;85260;2;384;Electric;Female;Married;1;2
BMW;3 Series;Hatchback;2018;24200;9656;2;233;Petrol;Female;Single;0;3
BMW;X5;Truck;2018;44930;86221;1,8;115;Petrol;Female;Single;3;2
Tesla;Model S;Sedan;2019;29393;25965;2,5;276;Petrol;Female;Single;2;5
Nissan;Sentra;Truck;2020;36629;72807;2;274;Petrol;Female;Married;0;4
Toyota;Corolla;Sedan;2021;24525;83680;2,5;209;Petrol;Male;Single;3;5
Kia;Sorento;Sedan;2018;35699;26583;1,6;112;Petrol;Male;Married;2;4
Kia;Sorento;Sedan;2021;49049;99039;1,8;163;Electric;Female;Married;0;3
Nissan;Sentra;Sedan;2020;49930;50871;1,8;245;Petrol;Female;Single;2;2
Tesla;Model 3;Sedan;2018;38558;47165;2;379;Petrol;Female;Single;0;2
Chevrolet;Malibu;Sedan;2018;48205;54453;2;164;Petrol;Male;Single;2;5
Kia;Optima;Truck;2021;36156;59728;1,6;214;Petrol;Male;Married;0;1
Hyundai;Santa Fe;Sedan;2020;42795;19250;2;135;Petrol;Female;Married;3;3
Hyundai;Elantra;Hatchback;2020;40675;49108;2;339;Petrol;Female;Married;1;3
Chevrolet;Camaro;Truck;2020;31761;80125;2,5;378;Petrol;Female;Single;2;3
Kia;Soul;Sedan;2019;17996;34704;2;205;Petrol;Female;Married;0;5
Nissan;Maxima;Sedan;2019;24955;79432;2,5;386;Petrol;Male;Single;1;1
Nissan;Altima;Sedan;2019;30054;27356;2;355;Petrol;Female;Single;2;4
Kia;Sportage;Sedan;2018;16190;98236;2;353;Petrol;Female;Single;3;5
Honda;Civic;Sedan;2021;31812;13220;1,6;192;Petrol;Female;Married;3;5
Hyundai;Elantra;Sedan;2018;26785;67076;1,6;325;Petrol;Female;Married;3;3
Mercedes;C-Class;Hatchback;2020;21627;61317;2;398;Petrol;Female;Single;0;5
Chevrolet;Camaro;Sedan;2020;42422;57927;2;119;Petrol;Male;Single;2;1
Hyundai;Sonata;Sedan;2019;47850;69332;2;284;Petrol;Female;Single;3;4
Toyota;RAV4;Sedan;2020;27310;5855;2,5;142;Petrol;Male;Married;2;3
Mercedes;E-Class;Sedan;2019;35335;76755;1,6;302;Petrol;Male;Single;0;5
Chevrolet;Camaro;Sedan;2021;37421;51282;1,6;326;Petrol;Male;Married;0;4
BMW;5 Series;Sedan;2020;24878;21787;3,5;180;Petrol;Male;Single;3;5
Chevrolet;Camaro;Sedan;2020;25318;73936;2;284;Petrol;Male;Married;3;2
Nissan;Rogue;Sedan;2020;42419;62518;2;237;Petrol;Male;Single;3;5
Ford;Mustang;Sedan;2018;32461;70495;;260;Petrol;Male;Single;2;3
Mercedes;E-Class;Sedan;2018;49190;86621;2;318;Petrol;Male;Married;1;1
Mercedes;GLE;Sedan;2020;20767;44228;;279;Petrol;Male;Married;1;5
BMW;X3;Sedan;2020;21861;53249;;329;Petrol;Male;Single;0;4
Chevrolet;Camaro;Truck;2019;30807;75881;;248;Petrol;Male;Single;3;5
Hyundai;Elantra;Sedan;2021;23615;26787;2;269;Petrol;Male;Single;0;4
Chevrolet;Camaro;Sedan;2019;35511;86639;1,6;325;Petrol;Female;Single;1;4
Ford;Explorer;Sedan;2019;38698;80073;1,6;152;Petrol;Female;Single;3;5
Mercedes;GLE;Sedan;2019;26566;15065;2;315;Petrol;Female;Single;2;4
Ford;Mustang;Sedan;2020;19079;73205;2;135;Petrol;Male;Married;2;3
Tesla;Model Y;Hatchback;2020;46948;44379;2,5;268;Petrol;Male;Married;2;4
Mercedes;E-Class;Sedan;2020;36445;58007;2;260;Petrol;Female;Married;1;1
Honda;CR-V;Sedan;2020;16740;12418;2;228;Petrol;Male;Married;3;5
BMW;5 Series;Sedan;2018;48428;85361;1,6;125;Petrol;Female;Married;1;1
Mercedes;E-Class;Sedan;2021;17204;79155;2;303;Electric;Female;Married;3;3
Toyota;RAV4;Sedan;2021;39279;15679;2,5;321;Electric;Male;Single;2;3
Chevrolet;Camaro;Sedan;2021;15212;18624;2,5;243;Petrol;Female;Single;3;5
Ford;Explorer;Sedan;2018;39635;17612;2,5;163;Petrol;Male;Married;1;5
Nissan;Sentra;Sedan;2021;35074;63305;;248;Petrol;Female;Single;0;2
BMW;3 Series;Sedan;2020;23016;72899;2;130;Petrol;Male;Single;3;3
Honda;CR-V;Sedan;2019;34652;22589;1,6;362;Petrol;Female;Single;3;1
Nissan;Rogue;Sedan;2020;47292;73937;2;257;Petrol;Female;Single;2;5
Mercedes;GLE;Sedan;2019;44849;27014;2;338;Petrol;Female;Single;1;4
Toyota;Camry;Hatchback;2020;19739;75916;3,5;109;Petrol;Male;Single;0;4
Tesla;Model 3;Sedan;2021;32773;49990;2;139;Petrol;Male;Single;1;4
BMW;3 Series;Sedan;2020;22066;23658;2,5;121;Petrol;Male;Married;2;5
Toyota;Prius;Hatchback;2020;20368;67756;2,5;107;Petrol;Male;Married;2;2
Nissan;Maxima;Sedan;2019;33868;7058;2;238;Petrol;Female;Single;2;3
Tesla;Model Y;Sedan;2018;40069;59351;;311;Petrol;Male;Married;2;2
Nissan;Sentra;Sedan;2020;16618;72370;;347;Petrol;Female;Married;2;3
Tesla;Model 3;Sedan;2018;16183;17344;2;292;Petrol;Male;Married;0;3
BMW;X3;Sedan;2020;48048;72539;1,8;353;Petrol;Male;Single;2;5
Kia;Sportage;Sedan;2020;16518;19239;2;248;Petrol;Male;Married;1;1
Chevrolet;Malibu;Sedan;2020;26037;48079;;322;Petrol;Male;Married;3;3
Chevrolet;Malibu;Sedan;2019;41557;61090;2,5;353;Petrol;Male;Married;3;4
Hyundai;Elantra;Sedan;2021;33996;57982;2;171;Petrol;Male;Married;2;3
Tesla;Model X;Sedan;2021;20042;73726;;157;Petrol;Female;Single;2;5
Nissan;Altima;Sedan;2019;41859;5284;2,5;109;Electric;Female;Married;3;5
Nissan;Altima;Hatchback;2018;24355;73612;3,5;155;Petrol;Male;Single;3;3
BMW;X3;Sedan;2020;26215;54096;2,5;159;Petrol;Male;Single;3;2
Kia;Soul;Sedan;2020;38321;58894;2;364;Petrol;Female;Married;0;5
Kia;Soul;Sedan;2020;26487;66934;2;338;Petrol;Male;Married;0;4
Mercedes;GLC;Sedan;2020;16002;30781;2,5;167;Petrol;Male;Single;1;5
Tesla;Model 3;Sedan;2021;39757;34463;1,6;126;Petrol;Male;Married;2;4
Nissan;Altima;Hatchback;2019;29018;17756;3,5;126;Petrol;Male;Single;0;5
Toyota;RAV4;Truck;2019;40313;58481;2;306;Petrol;Female;Single;3;3
BMW;X5;Sedan;2021;36137;79109;3,5;161;Electric;Male;Married;1;2
Honda;Accord;Sedan;2020;26812;75635;1,6;321;Petrol;Female;Single;0;4
Mercedes;C-Class;Sedan;2020;21098;9863;2;188;Petrol;Male;Single;2;5
Hyundai;Elantra;Sedan;2020;30956;68813;3,5;281;Petrol;Male;Married;2;4
Tesla;Model S;Truck;2021;46997;98983;1,6;197;Petrol;Female;Single;1;1
Tesla;Model S;Sedan;2020;19685;31093;2,5;379;Petrol;Male;Single;2;4
Nissan;Sentra;Sedan;2020;24421;84288;2;101;Petrol;Male;Married;2;3
Chevrolet;Equinox;Sedan;2020;37955;34612;2,5;391;Petrol;Female;Single;2;1
BMW;X5;Sedan;2019;45689;8439;2,5;249;Petrol;Female;Married;1;1
Chevrolet;Equinox;Sedan;2021;49396;79550;3,5;189;Petrol;Female;Single;1;5
Hyundai;Elantra;Sedan;2021;26777;94755;2;285;Petrol;Female;Married;0;2
Tesla;Model Y;Sedan;2019;46608;83467;2;395;Petrol;Female;Married;1;4
Ford;Explorer;Sedan;2020;28333;88053;3,5;245;Petrol;Female;Married;1;3
BMW;5 Series;Sedan;2021;30223;68593;2;104;Electric;Female;Married;0;5
Kia;Sportage;Sedan;2020;31181;64841;1,6;165;Petrol;Female;Single;3;3
Honda;Accord;Hatchback;2020;38945;55501;2;382;Petrol;Female;Single;1;5
Nissan;Maxima;Sedan;2019;28444;73470;2;141;Electric;Male;Married;3;5
Mercedes;C-Class;Sedan;2020;38676;23160;1,8;130;Electric;Female;Married;0;3
Chevrolet;Equinox;Sedan;2021;47853;45377;2;176;Petrol;Male;Married;3;4
Hyundai;Elantra;Hatchback;2020;37436;55684;2;324;Petrol;Female;Single;3;3
Chevrolet;Silverado;Sedan;2021;16709;44372;2;354;Petrol;Male;Single;2;1
BMW;X5;Sedan;2020;46906;74914;1,8;357;Petrol;Female;Married;3;4
Ford;F-150;Sedan;2020;29887;86360;;252;Petrol;Male;Married;1;1
Mercedes;GLC;Sedan;2021;26916;77607;2,5;335;Petrol;Female;Married;2;2
Kia;Optima;Sedan;2021;36241;33836;3,5;395;Petrol;Female;Single;2;5
Ford;Fusion;Truck;2018;45277;78375;2,5;361;Petrol;Male;Married;2;2
Tesla;Model Y;Sedan;2019;41460;64314;1,8;224;Petrol;Male;Single;0;3
Nissan;Rogue;Sedan;2020;40758;5874;2;318;Petrol;Female;Single;1;5
Chevrolet;Equinox;Sedan;2020;46293;60752;2,5;120;Petrol;Female;Single;1;2
Nissan;Sentra;Sedan;2019;44046;97835;;248;Electric;Male;Married;0;3
Tesla;Model X;Hatchback;2020;21691;79531;;231;Electric;Female;Single;2;5
Tesla;Model 3;Sedan;2021;38989;16561;;333;Petrol;Female;Married;1;5
Toyota;Camry;Sedan;2019;45128;24357;2;361;Petrol;Female;Single;0;5
Tesla;Model 3;Sedan;2020;17976;20703;3,5;251;Petrol;Female;Married;0;5
Tesla;Model X;Hatchback;2018;47874;46892;2;178;Petrol;Male;Married;2;3
BMW;5 Series;Sedan;2020;29041;49945;1,8;296;Petrol;Male;Married;0;1
Mercedes;GLE;Truck;2020;15276;21542;2;258;Petrol;Female;Married;0;3
Mercedes;C-Class;Sedan;2020;18597;72442;;206;Petrol;Female;Single;1;2
Ford;Explorer;Sedan;2021;45745;38401;2;251;Petrol;Male;Single;1;4
Toyota;Camry;Sedan;2021;33306;84492;2;216;Electric;Female;Married;3;5
Nissan;Maxima;Sedan;2019;37044;49207;2;278;Petrol;Female;Single;0;5
Ford;Explorer;Sedan;2019;43223;50441;2;279;Petrol;Male;Single;3;3
Chevrolet;Equinox;Truck;2020;49029;26056;2,5;344;Petrol;Female;Married;0;1
Honda;CR-V;Sedan;2021;34991;83745;2,5;199;Petrol;Male;Single;0;3
Ford;Fusion;Sedan;2021;38518;32742;2;144;Electric;Male;Single;1;1
Toyota;RAV4;Sedan;2021;35594;57848;1,6;260;Petrol;Male;Single;0;4
Tesla;Model X;Sedan;2019;33714;35469;1,8;123;Petrol;Male;Married;0;5
BMW;5 Series;Truck;2020;48463;39984;2;372;Petrol;Female;Single;3;2
Ford;Explorer;Sedan;2019;30779;19958;1,6;183;Electric;Female;Single;1;1
Chevrolet;Equinox;Sedan;2020;26615;32058;3,5;333;Petrol;Male;Single;1;2
Toyota;RAV4;Sedan;2021;31616;73491;2;131;Petrol;Female;Single;3;2
Ford;F-150;Hatchback;2021;16559;47885;2,5;160;Petrol;Male;Single;1;1
Hyundai;Elantra;Sedan;2020;37782;54276;2;211;Petrol;Female;Married;0;3
Chevrolet;Silverado;Hatchback;2021;19573;34116;;166;Petrol;Female;Single;2;2
Nissan;Maxima;Sedan;2019;29196;90984;;231;Petrol;Female;Married;0;3
Kia;Sportage;Sedan;2020;42543;75119;;256;Petrol;Male;Married;1;3
Nissan;Maxima;Sedan;2020;34343;42765;;396;Electric;Female;Single;3;2
Hyundai;Elantra;Sedan;2019;47189;18562;1,8;155;Petrol;Male;Single;3;4
Tesla;Model S;Sedan;2018;48381;55709;1,6;311;Petrol;Female;Single;1;2
Toyota;Camry;Hatchback;2020;38863;36070;;305;Petrol;Male;Single;2;2
Kia;Soul;Sedan;2020;41885;35774;2;218;Electric;Male;Married;3;5
Mercedes;E-Class;Sedan;2020;47671;62092;2,5;175;Petrol;Male;Married;2;3
BMW;5 Series;Truck;2018;21065;39813;2,5;192;Petrol;Male;Married;2;5
BMW;5 Series;Sedan;2018;21081;17935;2,5;201;Petrol;Male;Married;0;4
Chevrolet;Silverado;Sedan;2020;24221;58843;2;240;Petrol;Male;Single;2;2
Toyota;RAV4;Sedan;2021;31328;10580;1,6;312;Petrol;Male;Single;2;3
Hyundai;Elantra;Sedan;2021;46645;60008;2;372;Petrol;Female;Married;1;2
Mercedes;GLE;Truck;2021;34274;29432;2;364;Petrol;Male;Single;0;2
Ford;Explorer;Sedan;2020;31102;60184;3,5;120;Petrol;Female;Single;2;5
Kia;Soul;Sedan;2021;39387;79618;1,8;171;Petrol;Female;Single;1;1
Toyota;RAV4;Sedan;2020;34944;34768;2;103;Petrol;Female;Married;3;1
Mercedes;GLE;Sedan;2020;22952;66985;2;295;Petrol;Male;Married;2;4
Mercedes;GLC;Sedan;2021;18737;29006;2;148;Petrol;Female;Single;0;1
Kia;Optima;Truck;2020;20353;60941;2;366;Petrol;Male;Single;2;4
Tesla;Model Y;Sedan;2020;32119;47536;3,5;365;Petrol;Female;Single;1;4
Mercedes;GLC;Sedan;2020;29432;89559;2;115;Petrol;Female;Single;2;4
Kia;Optima;Hatchback;2018;36154;71279;3,5;258;Electric;Male;Married;0;3
Honda;CR-V;Sedan;2018;41415;52211;1,6;385;Petrol;Female;Married;1;4
BMW;5 Series;Sedan;2021;42529;94616;2;173;Petrol;Male;Married;1;2
Kia;Sportage;Sedan;2020;38810;42041;1,6;363;Petrol;Female;Married;1;4
Hyundai;Sonata;Hatchback;2020;29876;5541;1,6;309;Petrol;Male;Single;1;4
Ford;F-150;Truck;2020;37724;84553;;307;Electric;Female;Single;2;2
Kia;Soul;Sedan;2020;16114;38004;1,8;306;Petrol;Female;Married;2;2
Hyundai;Elantra;Sedan;2021;36348;34270;2;122;Electric;Female;Single;2;1
Nissan;Maxima;Sedan;2020;33603;58851;3,5;209;Petrol;Female;Single;1;1
BMW;X5;Sedan;2021;18530;46838;2;347;Petrol;Male;Single;1;3
Tesla;Model X;Sedan;2020;49997;39233;1,8;266;Petrol;Male;Married;0;1
BMW;3 Series;Sedan;2020;19156;16156;2;226;Petrol;Male;Single;2;2
Honda;CR-V;Sedan;2020;29261;18918;2,5;161;Petrol;Female;Single;2;5
Hyundai;Sonata;Truck;2020;20604;38144;1,6;393;Petrol;Male;Single;1;5
Toyota;RAV4;Sedan;2021;45168;86526;1,6;282;Electric;Female;Married;1;5
BMW;3 Series;Sedan;2021;24878;21437;2;191;Petrol;Male;Married;3;2
Nissan;Maxima;Sedan;2021;24752;81579;3,5;361;Petrol;Female;Single;1;3
Chevrolet;Silverado;Sedan;2021;43436;47580;2,5;313;Petrol;Male;Married;2;1
Mercedes;GLE;Sedan;2020;43245;15590;1,6;275;Petrol;Male;Single;0;4
Toyota;Camry;Sedan;2018;29530;48215;1,8;365;Petrol;Female;Single;3;1
Mercedes;GLC;Sedan;2021;34267;7111;2;181;Petrol;Male;Single;1;3
BMW;5 Series;Sedan;2020;29916;88112;2;345;Petrol;Male;Single;3;4
Honda;CR-V;Sedan;2020;33531;55700;1,8;250;Petrol;Male;Single;1;5
BMW;5 Series;Hatchback;2021;26618;7861;2,5;360;Petrol;Male;Single;2;2
Honda;Accord;Sedan;2019;23124;25891;1,6;241;Electric;Female;Single;3;5
Ford;Fusion;Hatchback;2021;25043;38621;2;290;Petrol;Female;Single;2;4
Toyota;Corolla;Sedan;2021;26557;58949;3,5;265;Electric;Female;Single;1;3
Toyota;RAV4;Sedan;2019;40291;53068;2;355;Petrol;Male;Single;2;1
Toyota;Corolla;Sedan;2021;27583;34987;2;235;Petrol;Male;Married;3;3
Hyundai;Tucson;Sedan;2018;43085;82106;1,8;160;Petrol;Male;Single;2;4
Chevrolet;Silverado;Truck;2019;21020;44902;2;287;Petrol;Male;Single;1;2
Honda;Fit;Sedan;2018;24846;9699;1,6;235;Petrol;Female;Single;3;3
Toyota;Prius;Truck;2019;35955;10733;2;399;Petrol;Female;Single;0;2
BMW;3 Series;Sedan;2020;30704;26284;2,5;292;Petrol;Male;Married;2;1
Chevrolet;Equinox;Sedan;2019;28892;53081;2;140;Petrol;Male;Married;2;4
Toyota;Corolla;Hatchback;2019;20959;5060;3,5;267;Petrol;Male;Married;3;3
